edad,ingreso_mensual,visitas_web_mes,tiempo_sitio_min,compras_previas,descuento_usado,target
56,4229462,18,7.1,5,0,0
46,3106903,10,17.7,1,1,1
32,2641093,19,2.8,3,0,1
60,3458231,17,5.0,11,1,1
25,5200385,19,6.2,10,1,1
38,3980389,5,8.1,3,1,0
56,2561909,9,24.9,14,1,1
36,3556138,12,17.7,5,1,1
40,1010078,1,10.2,5,1,0
28,2815631,1,18.7,0,0,0
28,2304104,15,23.0,13,0,1
41,2908187,2,24.0,7,0,0
53,2559066,16,2.4,5,0,0
57,5073125,8,10.5,2,1,1
41,3048815,13,3.6,13,1,1
20,4924066,1,9.1,8,0,1
39,5406259,16,5.1,1,0,1
19,5035314,7,16.5,14,0,1
41,1810681,5,10.3,10,1,0
47,2507618,3,6.5,7,1,0
55,4796830,12,7.4,9,0,0
19,5236787,16,9.6,2,1,1
38,3655423,19,7.2,12,1,1
50,2933350,5,11.9,11,0,0
29,3211987,14,1.8,4,1,0
39,5496200,5,7.7,5,1,0
42,5571399,15,10.9,9,0,1
44,971295,17,15.5,5,0,0
59,1643974,14,7.5,3,0,0
45,5981425,20,4.2,2,0,1
33,4345376,5,2.8,3,1,0
32,6151035,12,23.6,0,1,0
20,4512600,16,11.0,3,0,0
54,1725816,16,14.9,0,0,0
24,1274705,7,23.1,11,0,0
38,4617270,4,3.0,14,0,1
26,2756926,1,22.0,0,1,0
56,2558845,5,14.2,9,0,0
35,2926793,10,5.0,13,0,0
21,1454594,5,10.9,15,0,1
42,1047718,4,19.7,5,1,0
31,5739567,2,12.5,4,0,0
26,4404473,20,24.6,13,1,1
43,3104664,10,10.0,10,0,1
19,5241747,19,19.0,14,1,1
37,2419163,1,10.4,3,1,0
45,5467920,5,20.9,12,0,1
24,1586976,13,14.7,10,0,0
25,3372189,4,2.5,2,1,0
52,4041259,16,1.9,0,1,0
31,1017796,16,4.2,5,0,0
34,2141082,2,1.3,1,0,0
53,6084502,17,2.8,7,1,1
57,5792680,20,17.6,9,1,1
21,5792306,12,13.8,4,0,1
19,5014639,18,19.0,6,1,1
23,3588130,3,22.9,9,0,0
59,4574515,1,15.0,11,1,1
21,2479159,1,18.4,1,0,0
46,1807317,19,19.2,12,0,1
35,3385367,11,10.1,7,0,0
43,5415488,5,6.8,1,1,0
51,1568234,12,5.9,3,0,0
27,1278480,3,7.0,0,0,0
53,1691971,1,7.6,14,0,0
31,1401157,1,6.0,4,0,0
48,5278727,8,22.1,8,1,1
32,5024499,10,19.2,0,0,0
25,3513501,11,2.1,8,1,0
31,6006799,12,7.4,10,1,1
40,3821944,13,1.5,14,0,1
57,5227576,12,13.0,7,0,1
38,5862140,14,12.4,5,0,0
33,3983153,2,21.0,6,0,0
35,3699487,19,8.4,2,0,1
41,3804941,18,20.6,13,0,1
43,6220385,3,24.2,14,1,1
42,3000021,17,3.1,0,0,0
58,5875778,8,20.0,4,0,1
46,2260828,10,15.2,13,1,1
32,1518467,2,12.5,11,0,0
18,6233152,19,11.1,11,1,1
42,3035619,9,19.8,1,1,0
24,4855488,7,16.3,13,0,1
26,5972148,4,20.3,4,1,1
41,5574351,18,22.7,7,0,1
18,2607923,13,15.8,10,0,1
25,6201751,11,24.5,8,0,1
41,6034207,4,15.6,1,0,0
28,1028391,4,16.3,11,1,0
34,1917026,10,14.3,2,0,0
25,5201754,5,3.2,2,0,0
52,3169042,9,18.4,0,0,0
52,2883509,3,14.1,7,1,1
50,1016381,17,11.8,15,0,1
22,2421701,3,22.9,5,1,0
59,2520197,16,8.2,11,0,1
56,3131660,4,13.6,15,1,0
58,2678226,18,17.7,12,1,1
45,2099386,17,20.1,7,1,1
24,4338618,7,12.0,10,1,1
26,2914484,5,21.2,8,0,0
25,3837629,12,19.5,4,1,0
29,3357184,17,2.6,13,0,0
51,4043963,13,2.1,11,0,1
50,5003022,3,15.9,13,0,1
40,2318175,9,9.3,2,1,1
41,4706688,17,6.0,4,0,0
54,5824207,17,14.9,4,1,1
52,4672962,20,9.2,4,1,1
57,5091423,16,13.9,2,1,0
39,4941776,13,12.0,10,1,1
44,3627423,19,15.0,13,1,1
52,2660427,17,10.6,9,1,1
18,5218427,4,17.7,13,1,1
52,6030397,12,5.3,3,1,1
54,4351356,9,17.7,8,1,1
31,2031565,19,10.9,12,1,1
20,4344084,12,22.0,9,0,1
18,3827109,9,13.4,8,0,0
22,5272578,7,24.4,1,0,1
43,3409079,14,15.4,7,0,0
31,3787004,20,6.4,7,1,1
56,2831760,19,20.7,6,1,1
44,1031373,15,9.3,7,1,1
26,1015294,16,9.3,13,0,0
32,4032514,5,1.8,15,1,1
32,5742611,3,14.2,2,1,0
43,5235868,12,13.8,12,1,1
59,2326388,20,9.5,5,1,1
30,4751424,4,22.5,0,1,0
49,3115167,16,4.1,6,0,1
56,4786402,7,8.9,14,1,0
49,1589944,13,8.7,14,0,0
21,1588105,10,3.2,0,0,0
47,3510910,7,12.5,8,1,1
54,2889173,14,17.5,0,0,1
40,3980761,5,13.3,0,1,0
56,2314466,3,4.8,14,0,1
32,1345101,11,10.1,6,1,1
60,6146894,11,1.1,1,0,1
46,6160950,18,21.8,13,1,1
53,2005534,15,3.0,4,1,0
30,4127802,12,15.3,7,0,1
49,2483593,9,24.7,7,1,1
24,2703649,10,13.9,2,1,1
39,2124665,12,23.2,6,0,0
45,3194544,17,6.7,2,0,0
19,5253127,6,19.2,5,0,0
59,1398863,7,13.8,5,0,0
23,1267654,14,18.3,2,1,0
45,3576188,13,2.5,6,1,1
45,4195990,8,4.5,2,0,0
37,2392785,10,4.2,7,0,0
47,1697079,9,17.5,9,1,1
28,5758380,18,21.3,15,0,1
45,6391590,2,19.0,3,0,0
42,4942787,5,1.7,14,1,1
56,4828083,5,21.8,14,1,1
50,3599015,6,9.5,12,1,0
18,4314527,19,10.5,0,1,1
44,2186125,8,3.5,3,0,0
30,4640047,16,18.7,13,1,1
58,1348982,13,5.4,6,0,1
20,2072622,1,14.5,10,0,0
56,3403771,20,21.2,3,0,1
23,4077825,17,3.1,12,0,1
25,1896161,7,13.8,5,1,1
44,5083839,13,6.6,8,0,1
26,1566326,4,9.2,0,0,0
54,1549150,4,12.4,12,0,1
50,4275957,6,9.5,4,0,0
59,1018834,19,16.6,10,1,1
41,4139576,12,12.5,6,0,1
32,4098649,7,15.0,0,1,0
49,5379125,10,18.7,13,0,1
49,5149913,19,14.4,3,1,1
41,5322201,7,15.1,5,1,1
58,6068469,3,14.5,1,0,0
29,1979600,13,10.1,9,1,1
56,1925715,13,9.1,4,0,1
19,2338533,18,22.6,10,0,0
20,3181230,20,15.6,9,1,1
54,4403157,8,6.9,0,0,1
34,1361243,9,13.0,5,0,0
19,2958852,7,8.9,5,1,1
19,4159360,1,23.4,12,0,1
45,2885588,3,1.2,14,1,1
40,1151451,13,6.4,14,0,0
54,5097355,17,9.8,3,1,1
49,2652683,1,12.7,12,1,1
50,1904646,6,21.4,7,1,0
18,1871525,6,3.1,3,1,0
36,4767500,12,20.3,7,0,1
19,5283711,13,2.3,14,1,1
43,1349395,13,21.2,12,0,1
49,6043901,15,2.2,7,0,1
23,2160386,16,1.4,4,0,0
49,3954390,11,17.7,12,0,1
21,6237356,5,24.9,14,0,1
